Districts_N,Area,Category_N,Crop_N,Year,Rainfall,Max_Temp,Min_Temp,Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT,Productions
9,374613,2,3,2004,241,34.9,24.2333333333333,83.6666666666667,1.63333333333333,5.13333333333333,5.5,540975.3,737535.8,24.75,90.41,19,513645
18,510,3,3,1974,454.666666666667,35.9666666666667,24.1666666666667,77.3333333333333,2.53333333333333,6.1,5.49195402298851,534986.1,472575.7,22.36,90.34,3,195
3,9115,1,1,1976,2,32.0666666666667,14.2666666666667,74.3333333333333,0.6,1.03333333333333,9.3,435303.7,751187.5,24.88,89.36,20,4540
7,344930,3,6,2000,0,29.05,12.875,78.5,0.375,0.8,6.425,365790.2,834718,25.63,88.66,37,357798.8029
14,124770,3,6,1995,43.75,30.75,14.15,77.25,0.6,1.375,7.4,420062.7,562498.8,23.17,89.22,7,118542.4174
2,13060,3,4,2013,261.75,36.475,24.15,81,2.725,4.475,6.575,536809.8,510151.9,22.7,90.36,4,45579
6,111195,3,4,1987,172,39.225,24.075,74,1.675,3.95,7.775,540098.6,629248.4,23.78,90.39,9,382680
11,180,3,3,1987,315,35.5666666666667,24,78,0.933333333333333,3.7,6.23333333333333,725903.3,508021.9,22.67,92.2,63,163
9,1335,3,5,1989,22.25,29.575,13.925,76.75,0.475,1.35,7.05,540975.3,737535.8,24.75,90.41,19,4062.01235
19,72658,3,5,1988,5.5,30.55,12.8,73.75,1.35,1.025,8.275,353944.9,693386.6,24.35,88.56,20,38123.39135
4,590,3,6,1981,3.25,29.925,16.725,71.5,1.475,1.4,8.225,684570.9,471415,22.34,91.79,6,303.13525
18,44,3,5,2003,0.5,31.325,16.225,83.5,0.425,1.275,8.175,534986.1,472575.7,22.36,90.34,3,103.61714
21,9180,3,5,1992,13.75,28.85,13.125,81.75,0.925,1.5,6.7,426172.9,844822.3,25.72,89.26,34,24388.60875
1,6430,4,1,1993,7,29.6,16.1333333333333,74.3333333333333,0.833333333333333,1.46666666666667,8.13333333333333,684570.9,471415,22.34,91.79,6,5360
14,26340,1,1,1995,51.6666666666667,30.5,14.1333333333333,77.6666666666667,0.6,1.36666666666667,7.16666666666667,420062.7,562498.8,23.17,89.22,7,11410
2,25440,2,2,2006,381,33.6,26.05,90,1.5,6.8,4.1,536809.8,510151.9,22.7,90.36,4,21197
3,0,4,3,1991,234.666666666667,36.9666666666667,23.4333333333333,82.6666666666667,1.9,5.03333333333333,5.33333333333333,435303.7,751187.5,24.88,89.36,20,0
17,10116,3,5,1988,29,30,12.975,73.5,0.85,0.925,8.1,402483.2,667640.8,24.12,89.04,14,33268.81811
13,66190,3,4,1990,275.5,34.45,21.775,81.5,1.55,4.625,5.55,540975.3,737535.8,24.75,90.41,19,248210
19,26320,3,4,2011,158,37.625,22.65,76,2.225,3.225,7.075,353944.9,693386.6,24.35,88.56,20,153972
16,2070,3,6,1988,18.5,30.9,16.45,79.25,0.5,1.2,8.25,610851.8,524433.6,22.83,91.08,6,1377.8875
15,271025,3,4,1970,217.25,35.975,22.775,71.5,0.375,4.225,6.08428571428571,540975.3,737535.8,24.75,90.41,19,797580
13,18150,3,4,2007,299.5,35.425,22.5,81.25,1.225,4.175,6.025,540975.3,737535.8,24.75,90.41,19,81312
20,210,3,6,1993,5,30.25,15.9,73.75,0.45,1.425,8.175,725903.3,508021.9,22.67,92.2,63,198.4158
12,6140,2,5,1984,5.25,30.7,14.05,79.25,1.325,1.525,8.55,456632.4,521635.7,22.8,89.58,4,40190.2226
1,8450,2,3,1996,320.333333333333,35.2,24.9333333333333,80.6666666666667,4.36666666666667,4.36666666666667,6.7,684570.9,471415,22.34,91.79,6,8763
2,545,2,5,1986,70.5,31.375,15.1,85,0.2,1.525,8.025,536809.8,510151.9,22.7,90.36,4,2287.29325
12,0,4,2,2013,397.5,35.1,26.5,91.5,2.15,6.2,4.15,456632.4,521635.7,22.8,89.58,4,0
18,0,1,1,1998,32.3333333333333,30.8666666666667,17.2,81.6666666666667,0.433333333333333,1.03333333333333,7.06666666666667,534986.1,472575.7,22.36,90.34,3,0
22,0,5,3,1975,536.666666666667,34.0666666666667,22.6666666666667,81,1.13333333333333,5.6,7.13333333333333,694533.2,752277.9,24.88,91.93,35,0
12,0,4,2,2001,228.5,34.7,26.7,86.5,1,5.85,5.25,456632.4,521635.7,22.8,89.58,4,0
15,479162,2,3,2004,241,34.9,24.2333333333333,83.6666666666667,1.63333333333333,5.13333333333333,5.5,540975.3,737535.8,24.75,90.41,19,645858
15,468980,2,3,2003,272.333333333333,35.5,23.8,82.3333333333333,1.7,5.16666666666667,5.86666666666667,540975.3,737535.8,24.75,90.41,19,620930
18,0,2,5,1974,11.3910256410257,30.25,15.65,73.3397435897436,0.9,1.475,7.00431034482759,534986.1,472575.7,22.36,90.34,3,0
10,529930,2,1,2001,10.6666666666667,30.8,14.5666666666667,81,0.166666666666667,1.5,6,420062.7,562498.8,23.17,89.22,7,550700
20,0,1,1,2002,19.6666666666667,30.9666666666667,15.4666666666667,83,0.333333333333333,1.33333333333333,7.7,725903.3,508021.9,22.67,92.2,63,0
2,673655,3,1,1981,11,30.4333333333333,14.3333333333333,75.3333333333333,0.366666666666667,1.23333333333333,8.16666666666667,536809.8,510151.9,22.7,90.36,4,275700
9,363950,2,3,2002,409,34,23.4666666666667,83.6666666666667,1.63333333333333,5.3,5.6,540975.3,737535.8,24.75,90.41,19,439210
9,35124,5,3,2013,214.666666666667,35.8333333333333,24.2,81.3333333333333,2.36666666666667,5.36666666666667,4.66666666666667,540975.3,737535.8,24.75,90.41,19,77016
1,290,5,3,2010,379.666666666667,34.3,25.7666666666667,78.3333333333333,4.9,4.86666666666667,5.93333333333333,684570.9,471415,22.34,91.79,6,508
5,155125,3,4,1972,188.25,36.125,24.025,79.5,3.575,4.25,6.80454545454546,621445.2,596963.4,23.48,91.19,10,530530
23,149900,2,1,2007,39,29.4666666666667,14.7333333333333,81.3333333333333,0.233333333333333,1.2,6.46666666666667,491982.91,683166,24.15,89.55,10,138097
9,325,1,1,2006,0,29.4333333333333,14.1666666666667,85,0.4,1.06666666666667,4.76666666666667,540975.3,737535.8,24.75,90.41,19,147
16,230510,2,3,1995,293.666666666667,35.7,25.7333333333333,79.6666666666667,2,4.33333333333333,6.03333333333333,610851.8,524433.6,22.83,91.08,6,255702
15,5365,4,2,1983,639,34.4,26.25,85,2.15,6.45,4.2,540975.3,737535.8,24.75,90.41,19,2955
23,2414,3,2,2009,321.5,35.9,26,84.5,2.75,6.05,4.4,491982.91,683166,24.15,89.55,10,847
3,0,5,3,1983,162.666666666667,37.1666666666667,23.5666666666667,73,1.5,3.5,7.03333333333333,435303.7,751187.5,24.88,89.36,20,0
2,3655,4,1,1983,27.6666666666667,29.9333333333333,14.5,83.3333333333333,0.3,1.7,8.13333333333333,536809.8,510151.9,22.7,90.36,4,2745
4,5140,3,5,1993,7.25,29.95,16,71.75,1.075,1.35,8.3,684570.9,471415,22.34,91.79,6,24978.3446
11,120,3,3,1985,230.333333333333,35.5,23.9333333333333,77.6666666666667,1.23333333333333,4.83333333333333,6.20123456790123,725903.3,508021.9,22.67,92.2,63,67
12,78090,2,3,1989,165.333333333333,38.0666666666667,25.3333333333333,79.3333333333333,2.56666666666667,4.16666666666667,7.43333333333333,456632.4,521635.7,22.8,89.58,4,84569
1,11850,2,1,1992,12.6666666666667,30.0666666666667,16.5,77,0.433333333333333,2.06666666666667,7.4,684570.9,471415,22.34,91.79,6,13220
16,106330,3,2,1993,617,32.25,25.85,87.5,1.9,6.35,3.4,610851.8,524433.6,22.83,91.08,6,29050
22,1745,3,5,2004,16.25,30.7,15.875,72.75,1.45,1.8,7.325,694533.2,752277.9,24.88,91.93,35,7266.42752
1,4660,2,3,2002,315.666666666667,34.4666666666667,24.3666666666667,76,3.63333333333333,5,6.56666666666667,684570.9,471415,22.34,91.79,6,5370
1,0,5,3,2005,167.333333333333,36.3666666666667,25.3666666666667,78.6666666666667,1.23333333333333,4.23333333333333,6.3,684570.9,471415,22.34,91.79,6,0
8,437430,1,1,1993,3.66666666666667,29.4,15.7333333333333,76.6666666666667,0.466666666666667,0.9,7.86666666666667,483877.3,610719.3,23.61,89.84,9,143020
8,220920,3,4,2001,189,36.075,23.15,76.25,1.375,3.7,6.975,483877.3,610719.3,23.61,89.84,9,932680
16,79595,3,2,2010,454.5,35.1,26.55,86.5,3.2,6.65,4.9,610851.8,524433.6,22.83,91.08,6,42903
4,548,3,3,1987,287.333333333333,34.3333333333333,24.9,79.3333333333333,4.86666666666667,3.93333333333333,6.56666666666667,684570.9,471415,22.34,91.79,6,434
21,1305,2,2,1970,471.5,34.35,25.1,86,0.8,4.8,4.74714285714286,426172.9,844822.3,25.72,89.26,34,1975
20,3975,2,2,2006,423,35.2,25.1,83,0.2,5.75,5.15,725903.3,508021.9,22.67,92.2,63,3887
11,0,1,1,2006,42.6666666666667,30.0666666666667,16.1666666666667,83.6666666666667,0.5,2.33333333333333,6.8,725903.3,508021.9,22.67,92.2,63,0
13,79541,5,3,2012,176,35.6666666666667,24,81,2.4,5.3,5.53333333333333,540975.3,737535.8,24.75,90.41,19,150189
9,3370,4,3,1989,193.333333333333,36.8,24.6333333333333,80,2.23333333333333,4.66666666666667,6,540975.3,737535.8,24.75,90.41,19,3417
22,0,5,3,1983,582.333333333333,34.5666666666667,22.6,81.3333333333333,1.1,5.4,6,694533.2,752277.9,24.88,91.93,35,0
13,138510,3,4,1975,29.75,36.725,22.025,75.25,0.35,3.6,6.08428571428571,540975.3,737535.8,24.75,90.41,19,438060
10,7000,3,3,1976,150.666666666667,36.9666666666667,24,74.6666666666667,3.36666666666667,4.03333333333333,6.86666666666667,420062.7,562498.8,23.17,89.22,7,4398
